@id;@form;@lemma;@postag;@relation
1;ἀλλ᾽;ἀλλά;d--------;AuxY
2;οὔ;οὐ;d--------;AuxZ
3;-τ᾽;τε;d--------;AuxY
4;ἂν;ἄν;d--------;AuxY
5;ἐγὼ;ἐγώ;p1s---mn-;SBJ
6;ταῦτα;οὗτος;p-p---na-;OBJ
7;φήσαιμι;φημί;v1saoa---;PRED_CO
8;(;punc;u--------;AuxG
9;ἀδικοίην;ἀδικέω;v1spoa---;PRED
10;γὰρ;γάρ;d--------;AuxY
11;ἂν;ἄν;d--------;AuxY
12;ὑμᾶς;σύ;p2p---ma-;OBJ
13;);punc;u--------;AuxG
14;,;punc;u--------;AuxX
15;οὔ;οὐ;d--------;AuxZ
16;-τ᾽;τε;c--------;COORD
17;ἂν;ἄν;d--------;AuxY
18;ὑμεῖς;σύ;p2p---mn-;SBJ
19;εὖ;εὖ;d--------;ADV
20;οἶδ᾽;οἶδα;v1sria---;PRED_CO
21;ὅτι;ὅτι;c--------;AuxC
22;συγχωρήσαιτε;συγχωρέω;v2paoa---;OBJ
23;:;punc;u--------;AuxK
