,@ref,@id,@form,@lemma,@postag,@relation
0,Leuven|0032-002|291|1,1,πότερά,πότερος,a-p---na-,AuxY
1,Leuven|0032-002|291|2,2,σοι,σύ,p2s---cd-,OBJ
2,Leuven|0032-002|291|3,3,δοκοῦσιν,δοκέω,v3ppia---,PRED
3,Leuven|0032-002|291|4,4,οἱ,ὁ,l-p---mn-,ATR
4,Leuven|0032-002|291|5,5,ἀπεργαζόμενοι,ἀπεργάζομαι,v-pppemn-,SBJ_CO
5,Leuven|0032-002|291|6,6,εἴδωλα,εἴδωλον,n-p---na-,OBJ
6,Leuven|0032-002|291|7,7,ἄφρονά,ἄφρων,a-p---na-,ATR_CO
7,Leuven|0032-002|291|8,8,τε,τε,c--------,AuxY
8,Leuven|0032-002|291|9,9,καὶ,καί,c--------,COORD
9,Leuven|0032-002|291|10,10,ἀκίνητα,ἀκίνητος,a-p---na-,ATR_CO
10,Leuven|0032-002|291|11,11,ἀξιοθαυμαστότεροι,ἀξιοθαύμαστος,a-p---mnc,PNOM
11,Leuven|0032-002|291|12,12,εἶναι,εἰμί,v--pna---,OBJ
12,Leuven|0032-002|291|13,13,ἢ,ἤ,c--------,COORD
13,Leuven|0032-002|291|14,14,οἱ,ὁ,l-p---mn-,ATR
14,Leuven|0032-002|291|15,15,ζῷα,ζῷον,n-p---na-,OBJ
15,Leuven|0032-002|291|16,16,ἔμφρονά,ἔμφρων,a-p---na-,ATR_CO
16,Leuven|0032-002|291|17,17,τε,τε,c--------,AuxY
17,Leuven|0032-002|291|18,18,καὶ,καί,c--------,COORD
18,Leuven|0032-002|291|19,19,ἐνεργά,ἐνεργός,a-p---na-,ATR_CO
