@id,@form,@lemma,@postag,@relation
1,οὗτος,οὗτος,p-s---mn-,SBJ
2,δὲ,δέ,d--------,AuxY
3,τῶν,ὁ,l-p---ng-,ATR
4,ὅλων,ὅλος,a-p---ng-,OBJ
5,κατηγορῶν,κατηγορέω,v-sppamn-,ADV_CO
6,καὶ,καί,c--------,COORD
7,κελεύων,κελεύω,v-sppamn-,ADV_CO
8,ὑμᾶς,σύ,p-p---ma-,SBJ
9,ἐμοὶ,ἐγώ,p1s---md-,OBJ
10,πικρῶς,πικρός,d-------_,ADV
11,ἔχειν,ἔχω,v--pna---,OBJ
12,ὡς,ὡς,d--------,AuxZ
13,φόβων,φόβος,n-p---mg-,ADV_CO
14,καὶ,καί,c--------,COORD
15,κινδύνων,κίνδυνος,n-p---mg-,ADV_CO
16,αἰτίῳ,αἴτιος,a-s---md-,PNOM
17,τῇ,ὁ,l-s---fd-,ATR
18,πόλει,πόλις,n-s---fd-,ADV
19,",",punc1,u--------,AuxX
20,τῆς,ὁ,l-s---fg-,ATR
21,μὲν,μέν,d--------,AuxY
22,εἰς,εἰς,r--------,AuxP
23,τὸ,ὁ,l-s---na-,ATR
24,παρὸν,πάρειμι1,v-sppana-,ATR
25,τιμῆς,τιμή,n-s---fg-,OBJ
26,ἔμ᾽,ἐγώ,p1s---ma-,OBJ
27,ἀποστερῆσαι,ἀποστερέω,v--ana---,OBJ
28,γλίχεται,γλίχομαι,v3spie---,PRED_CO
29,",",punc1,u--------,AuxX
30,τὰ,ὁ,l-p---na-,ATR
31,δ᾽,δέ,c--------,COORD
32,εἰς,εἰς,r--------,AuxP
33,ἅπαντα,ἅπας,a-s---ma-,ATR
34,τὸν,ὁ,l-s---ma-,ATR
35,λοιπὸν,λοιπός,a-s---ma-,ATR
36,χρόνον,χρόνος,n-s---ma-,ATR
37,ἐγκώμι᾽,ἐγκώμιος,a-p---na-,OBJ
38,ὑμῶν,σύ,p-p---mg-,OBJ
39,ἀφαιρεῖται,ἀφαιρέω,v3spie---,PRED_CO
40,.,punc1,u--------,AuxK
41,[0],,,ATR
