@id;@form;@lemma;@postag;@relation
1;οἱ;ὁ;l-p---mn-;ATR
2;δὲ;δέ;d--------;AuxY
3;ἐπὶ;ἐπί;r--------;AuxP
4;τῆς;ὁ;l-s---fg-;ATR
5;πρώτης;πρῶτος;a-s---fgs;ATR
6;νεὼς;ναῦς;n-s---fg-;ADV
7;ἐκπεμφθέντες;ἐκπέμπω;v-pappmn-;ATR
8;Μυτιληναίων;Μυτιληναῖος;n-p---mg-;ATR
9;πρέσβεις;πρέσβυς;n-p---mn-;SBJ
10;,;punc;u--------;AuxX
11;ὡς;ὡς;c--------;AuxC
12;αὐτοῖς;αὐτός;p-p---md-;OBJ
13;οἱ;ὁ;l-p---mn-;ATR
14;Λακεδαιμόνιοι;Λακεδαιμόνιος;n-p---mn-;SBJ
15;εἶπον;λέγω;v3paia---;ADV
16;Ὀλυμπίαζε;Ὀλυμπία;d--------;ADV
17;παρεῖναι;πάρειμι;v--pna---;OBJ
18;,;punc;u--------;AuxX
19;ὅπως;ὅπως;c--------;AuxC
20;καὶ;καί;d--------;AuxZ
21;οἱ;ὁ;l-p---mn-;ATR
22;ἄλλοι;ἄλλος;a-p---mn-;ATR
23;ξύμμαχοι;σύμμαχος;n-p---mn-;SBJ
24;ἀκούσαντες;ἀκούω;v-papamn-;ADV
25;βουλεύσωνται;βουλεύω;v3pasm---;ADV
26;,;punc;u--------;AuxX
27;ἀφικνοῦνται;ἀφικνέομαι;v3ppie---;PRED
28;ἐς;εἰς;r--------;AuxP
29;τὴν;ὁ;l-s---fa-;ATR
30;Ὀλυμπίαν;Ὀλυμπία;n-s---fa-;OBJ
31;:;punc;u--------;AuxK
