@ref,@id,@form,@lemma,@postag,@relation
Leuven|0096-00#|1012|1,1,οἱ,ὁ,l-p---mn-,SBJ
Leuven|0096-00#|1012|2,2,τοιαῦτα,τοιοῦτος,p-p---na-,ATR
Leuven|0096-00#|1012|3,3,προβλήματα,πρόβλημα,n-p---na-,OBJ
Leuven|0096-00#|1012|4,4,καθιέντες,καθίημι,v-pppamn-,ADV
Leuven|0096-00#|1012|5,5,οὐδέν,οὐδείς,p-s---na-,ADV
Leuven|0096-00#|1012|6,6,ἄν,ἄν,d--------,AuxY
Leuven|0096-00#|1012|7,7,τῆς,ὁ,l-s---fg-,ATR
Leuven|0096-00#|1012|8,8,Αἰσωπείου,Αἰσώπειος,a-s---fg_,ATR
Leuven|0096-00#|1012|9,9,γεράνου,γέρανος,n-s---fg-,ADV_CO
Leuven|0096-00#|1012|10,10,καί,καί,b--------,COORD
Leuven|0096-00#|1012|11,11,ἀλώπεκος,ἀλώπηξ,n-s---fg-,ADV_CO
Leuven|0096-00#|1012|12,12,ἐπιεικέστεροι,ἐπιεικής,a-p---mnc,PNOM
Leuven|0096-00#|1012|13,13,πρός,πρός,r--------,AuxP
Leuven|0096-00#|1012|14,14,κοινωνίαν,κοινωνία,n-s---fa-,ADV
Leuven|0096-00#|1012|15,15,φανεῖεν,φαίνω,v3ppoa---,PRED
Leuven|0096-00#|1012|16,16,·,·,u--------,AuxK
