@ref,@id,@form,@lemma,@postag,@relation
Leuven|0544-002|481|1,1,λείπεται,λείπω,v3spie---,PRED
Leuven|0544-002|481|2,2,ἄρα,ἄρα,d--------,AuxY
Leuven|0544-002|481|3,3,ἢ,ἤ,c--------,AuxY
Leuven|0544-002|481|4,4,μέρος,μέρος,n-s---na-,SBJ_CO
Leuven|0544-002|481|5,5,ἀφ’,ἀπό,r--------,AuxP
Leuven|0544-002|481|6,6,ὅλου,ὅλος,a-s---ng-,OBJ_CO
Leuven|0544-002|481|7,7,ἢ,ἤ,c--------,COORD
Leuven|0544-002|481|8,8,μέρος,μέρος,n-s---na-,SBJ_CO
Leuven|0544-002|481|9,9,ἀπὸ,ἀπό,r--------,AuxP
Leuven|0544-002|481|10,10,μέρους,μέρος,n-s---ng-,OBJ_CO
Leuven|0544-002|481|11,11,ἀφαιρεῖσθαι,ἀφαιρέω,v--pne---,SBJ
Leuven|0544-002|481|12,12,.,.,u--------,AuxK
